id,nombre,latitud,longitud,prioridad,ventana_inicio,ventana_fin,pedido,distrito
1,Farmacia Boticas Plus,-12.058,-77.1321,1,13:00,15:00,233.05,Bellavista
2,Hotel Westin Terciario,-12.4753,-77.0762,5,07:00,19:00,111.42,Pachacámac
3,Universidad Privada del Norte 1,-12.4565,-77.1413,3,09:00,11:00,126.16,Chosica
4,Supermercado El Tigre Plus,-11.9958,-77.0581,2,06:00,14:00,246.75,San Martín de Porres
5,Restaurante Maido Terciario,-12.1391,-77.0199,4,12:00,14:00,149.76,Barranco
6,Universidad del Pacífico Premium,-12.0769,-77.1621,3,13:00,17:00,102.18,La Punta
7,Restaurante La Picantería Plus,-12.3715,-76.9857,2,08:00,14:00,367.11,Chaclacayo
8,Universidad San Martín - San Juan de Lurigancho,-12.0551,-76.9471,3,09:00,15:00,113.09,Ate
9,Plaza Bolognesi Este,-11.95,-77.0535,5,06:00,18:00,142.23,Comas
10,Hotel Country Club 3,-12.1536,-77.1527,2,11:00,14:00,156.22,Chaclacayo
11,Plaza Mayor de Lima 3,-12.025,-77.022,3,11:00,14:00,214.56,Rímac
12,Centro Comercial Open Plaza Oeste,-11.8975,-77.2028,4,14:00,17:00,143.56,Ventanilla
13,Centro Comercial Plaza Lima Sur Express,-11.959,-77.0834,2,08:00,20:00,341.69,Santiago de Surco
14,Plaza Dos de Mayo Premium,-12.0893,-77.0765,2,17:00,21:00,208.14,Magdalena
15,Restaurante La Mar Premium,-12.4113,-77.1113,1,08:00,14:00,427.4,Chaclacayo
16,Universidad de Lima 1,-12.0424,-77.0167,5,17:00,19:00,145.84,El Agustino
17,Aeropuerto Jorge Chávez Plus,-11.9625,-77.1534,1,11:00,23:00,372.79,Santa Rosa
18,Plaza Francia Terciario,-12.0779,-77.0312,1,12:00,14:00,256.57,La Victoria
19,Hospital Alberto Sabogal Premium,-11.7547,-77.1493,2,12:00,18:00,205.09,Ancón
20,Clínica Ricardo Palma Express,-12.0726,-77.0237,1,09:00,21:00,488.6,La Victoria
21,Plaza de Acho Plus,-12.378,-77.1366,4,08:00,10:00,128.52,Chaclacayo
22,Hospital Edgardo Rebagliati Norte,-12.0895,-76.9404,1,16:00,19:00,468.3,La Molina
23,Hospital Edgardo Rebagliati 2,-11.9065,-77.1973,1,12:00,20:00,309.4,Ventanilla
24,Farmacia Universal - Villa El Salvador,-12.4002,-76.9327,4,09:00,21:00,86.3,Chosica
25,Centro Comercial Plaza Central Express,-12.0767,-77.066,1,18:00,23:00,212.29,Magdalena
26,Parque El Olivar Sur,-11.8903,-77.0545,4,19:00,23:00,112.17,Carabayllo
27,Restaurante Maido 2,-12.4585,-77.0486,5,10:00,22:00,45.49,Santiago de Surco
28,Clínica Anglo Americana Terciario,-12.0897,-76.9556,1,07:00,19:00,466.53,La Molina
29,Plaza de la Democracia Express,-12.0546,-77.0566,4,15:00,23:00,193.99,Breña
30,Hotel Belmond Plus,-12.0421,-77.0551,2,06:00,10:00,239.42,Breña
31,Hotel Sheraton 2,-11.9476,-77.0565,1,11:00,15:00,259.83,Comas
32,Restaurante El Chinito Premium,-12.0853,-77.0133,1,13:00,16:00,260.77,San Luis
33,Universidad Científica del Sur Oeste,-12.3715,-77.1403,4,19:00,23:00,112.15,San Juan de Miraflores
34,Plaza Dos de Mayo 1,-12.089,-77.064,5,11:00,17:00,51.6,Magdalena
35,Hotel Sonesta Premium,-12.0642,-77.1621,2,11:00,14:00,191.61,La Punta
36,Restaurante La Picantería Plus,-12.0518,-77.0481,4,11:00,23:00,186.36,Breña
37,Farmacia Boticas Premium,-12.1583,-76.9949,2,15:00,19:00,237.39,Surco
38,Clínica San Borja 4,-12.0953,-77.0186,5,15:00,19:00,37.32,San Luis
39,Mercado de Barranco - Rímac,-11.83,-77.0328,5,18:00,23:00,30.98,Santa Rosa
40,Aeropuerto Jorge Chávez 1,-12.0542,-77.1597,1,07:00,10:00,455.09,San Juan de Lurigancho
41,Parque Reducto Plus,-12.0727,-77.0027,4,16:00,22:00,168.58,San Borja
42,Mercado de Barranco 2,-11.7573,-77.1593,1,10:00,13:00,371.06,Ancón
43,Supermercado Peruanito 4,-11.893,-77.2071,5,08:00,20:00,45.58,Ventanilla
44,Parque El Olivar - Pachacámac,-12.0683,-77.0516,4,14:00,22:00,128.97,Pueblo Libre
45,Parque de la Media Luna - Villa El Salvador,-12.4586,-76.8005,3,16:00,22:00,219.87,Chaclacayo
46,Plaza de la Democracia - Independencia,-12.4532,-77.1611,3,12:00,14:00,134.86,Santa Rosa
47,Plaza Bolognesi Plus,-11.8544,-76.8669,5,09:00,13:00,46.31,Chosica
48,Restaurante La Mar Premium,-12.1029,-77.1728,4,17:00,23:00,164.16,San Juan de Lurigancho
49,Mercado de Surquillo Plus,-12.0633,-77.0274,2,18:00,23:00,322.3,La Victoria
50,Mercado de Miraflores Principal,-11.8657,-76.8416,1,14:00,16:00,407.63,Lurigancho
51,Centro Financiero Premium,-11.9579,-77.0539,5,06:00,18:00,128.07,Comas
52,Universidad UPC Express,-12.0614,-77.0705,2,18:00,22:00,371.66,San Miguel
53,Universidad San Martín Este,-11.7567,-77.1505,2,16:00,18:00,280.67,Ancón
54,Centro Comercial Jockey Plaza Sur,-12.1356,-77.0134,2,10:00,13:00,210.91,Barranco
55,Hotel Sonesta - Santa Rosa,-12.0598,-77.1442,3,16:00,23:00,222.63,Callao
56,Hotel Country Club - San Miguel,-12.0842,-77.0122,1,15:00,18:00,281.26,San Luis
57,Clínica Internacional - Chorrillos,-12.0937,-77.0221,3,20:00,23:00,291.83,San Luis
58,Restaurante Maido Terciario,-12.0417,-76.9777,3,07:00,13:00,222.87,Villa El Salvador
59,Hospital María Auxiliadora Plus,-11.945,-76.9262,1,13:00,17:00,499.36,Chosica
60,Santa Isabel Premium,-11.8385,-76.8564,2,15:00,23:00,394.22,Mi Perú
61,Vivanda 2,-12.2102,-76.9881,1,11:00,15:00,356.36,Pachacámac
62,Hospital Alberto Sabogal Express,-11.9081,-77.055,1,13:00,17:00,305.11,Carabayllo
63,Clínica Internacional Secundario,-12.0533,-77.0483,3,10:00,13:00,149.68,Jesús María
64,Clínica Ricardo Palma Express,-11.9743,-77.0717,2,13:00,15:00,367.28,Los Olivos
65,Plaza de la Democracia Principal,-11.9181,-76.9369,4,06:00,08:00,147.16,Lurín
66,Farmacia Mifarma - Ventanilla,-12.0544,-77.1281,5,10:00,22:00,102.53,Bellavista
67,Universidad de Lima Express,-12.0342,-77.0186,4,19:00,21:00,163.02,Rímac
68,Universidad UPC Plus,-12.1673,-77.0006,1,18:00,23:00,470.48,Surco
69,Farmacia San Pablo Premium,-11.9434,-77.0515,5,14:00,17:00,52.37,Comas
70,Restaurante Osaka - La Victoria,-12.0002,-77.0463,4,12:00,20:00,78.84,San Martín de Porres
71,Hotel Belmond - Jesús María,-12.333,-76.8808,1,07:00,11:00,462.49,San Juan de Miraflores
72,Centro Comercial Plaza Lima Sur 2,-12.0614,-77.132,1,20:00,23:00,344.63,Bellavista
73,Farmacia Universal - San Juan de Lurigancho,-11.9063,-77.19,3,10:00,14:00,201.16,Ventanilla
74,Universidad Privada del Norte Plus,-12.1078,-77.0326,5,17:00,19:00,147.64,San Isidro
75,Mercado de San Isidro Express,-12.2393,-77.1878,2,11:00,17:00,371.02,Santa Rosa
76,Universidad Científica del Sur Premium,-12.1133,-77.0279,3,06:00,08:00,287.87,Miraflores
77,Restaurante El Rincón del Ceviche Principal,-12.0427,-77.1228,3,20:00,23:00,142.59,Carmen de la Legua
78,Hotel Country Club Premium,-12.052,-76.841,3,18:00,23:00,233.19,Santiago de Surco
79,Restaurante La Mar Express,-12.0965,-77.0293,4,19:00,22:00,131.03,San Luis
80,Hotel Hilton Plus,-11.993,-77.0409,1,12:00,18:00,410.45,San Martín de Porres
81,Restaurante El Chinito Plus,-12.0883,-76.9943,4,12:00,18:00,109.75,San Borja
82,Vivanda Express,-12.0871,-77.0683,3,12:00,15:00,147.45,Magdalena
83,Supermercado Metro Secundario,-11.9767,-77.1949,3,08:00,20:00,297.64,Chosica
84,Plaza Grau Terciario,-12.0535,-77.0724,3,20:00,23:00,282.63,San Miguel
85,Parque de la Amistad Plus,-11.7433,-77.1599,2,07:00,15:00,236.98,Ancón
86,Plaza de Acho Plus,-12.0018,-77.0406,4,18:00,22:00,101.33,San Martín de Porres
87,Centro Comercial Jockey Plaza Plus,-12.031,-77.0148,4,13:00,16:00,92.97,Rímac
88,Farmacia Cruz Verde 5,-12.1112,-77.0342,5,08:00,16:00,111.51,Miraflores
89,Plaza de Acho - Villa El Salvador,-11.859,-77.1041,1,20:00,23:00,334.32,Puente Piedra
90,Clínica Anglo Americana Express,-12.0748,-77.1611,1,13:00,15:00,299.98,La Punta
91,Universidad UPC Express,-12.0689,-77.1299,3,18:00,23:00,242.41,Bellavista
92,Hospital María Auxiliadora Principal,-12.0804,-77.0764,1,07:00,11:00,311.12,Magdalena
93,Hospital Alberto Sabogal 2,-12.0463,-76.9447,3,06:00,14:00,263.82,Ate
94,Plaza Francia Express,-12.1098,-77.0846,1,11:00,15:00,291.4,Lurín
95,Restaurante El Rincón del Ceviche Este,-12.1665,-77.0826,4,18:00,23:00,108.96,San Juan de Lurigancho
96,Supermercado El Tigre Plus,-12.4765,-77.0496,4,07:00,15:00,179.17,San Juan de Miraflores
97,Hospital María Auxiliadora Express,-11.7531,-77.1456,2,11:00,14:00,168.67,Ancón
98,Universidad de Lima Secundario,-12.031,-77.0119,3,07:00,09:00,241.46,Rímac
99,Restaurante El Mercado Plus,-12.0669,-77.0329,2,06:00,14:00,159.98,La Victoria
100,Centro Comercial Plaza Central - Magdalena,-12.0299,-76.8619,2,11:00,17:00,268.63,Chorrillos
101,Supermercado El Ahorro Premium,-12.0765,-77.0721,4,08:00,11:00,174.48,Magdalena
102,Supermercado Metro - Callao,-11.9076,-77.0511,2,16:00,19:00,328.47,Carabayllo
103,Parque de la Familia Plus,-12.0665,-76.9389,3,19:00,22:00,258.22,Villa María del Triunfo
104,Parque de las Leyendas Principal,-12.0453,-77.1293,2,11:00,23:00,263.74,Carmen de la Legua
105,Restaurante El Rincón del Ceviche - Surco,-12.0524,-77.1538,2,14:00,23:00,203.58,Callao
106,Tottus Oeste,-11.8909,-77.1872,5,10:00,12:00,60.88,Chaclacayo
107,Supermercado El Súper - Jesús María,-12.0735,-76.9937,2,16:00,20:00,186.72,San Borja
108,Parque Kennedy 3,-11.9723,-77.0464,3,19:00,22:00,195.94,Pachacámac
109,Mercado de Miraflores - Jesús María,-12.0644,-77.0595,1,09:00,17:00,457.16,Pueblo Libre
110,Restaurante La Mar - Ancón,-12.1218,-77.024,4,06:00,10:00,182.03,Miraflores
111,Universidad del Pacífico Norte,-12.3517,-77.1535,1,19:00,23:00,286.49,Villa María del Triunfo
112,Farmacia San Pablo Premium,-11.7563,-77.1477,2,20:00,23:00,206.28,Ancón
113,Parque de la Exposición Express,-12.019,-76.9055,3,12:00,23:00,214.11,Chaclacayo
114,Plaza de la Bandera Plus,-11.9891,-77.0609,5,07:00,19:00,90.03,Los Olivos
115,Plaza de la Revolución Express,-12.086,-77.0797,4,10:00,18:00,161.3,Magdalena
116,Farmacia Boticas Premium,-11.8655,-77.0306,3,10:00,12:00,253.04,Villa El Salvador
117,Centro Comercial Plaza Lima Sur Oeste,-12.3627,-77.1826,5,11:00,23:00,144.95,San Juan de Lurigancho
118,Hotel JW Marriott 3,-12.0791,-77.0338,4,19:00,23:00,60.99,La Victoria
119,Parque de las Leyendas Premium,-12.0415,-77.0981,2,16:00,18:00,394.37,Chorrillos
120,Hospital Edgardo Rebagliati 2,-11.9557,-77.0459,2,13:00,19:00,348.58,Comas
121,Farmacia Cruz Verde Sur,-12.1618,-77.005,4,13:00,23:00,105.7,Surco
122,Universidad Ricardo Palma Plus,-12.2607,-77.1105,3,18:00,23:00,264.93,Santiago de Surco
123,Restaurante Central Premium,-11.9896,-77.075,3,10:00,22:00,214.27,Los Olivos
124,Santa Isabel 5,-11.8984,-77.0564,3,19:00,22:00,193.98,Carabayllo
125,Restaurante Central 3,-11.9963,-77.0251,2,06:00,10:00,239.4,Independencia
126,Hospital Nacional Dos de Mayo Plus,-12.0268,-77.0125,3,11:00,19:00,283.3,Rímac
127,Plaza Francia Plus,-12.3196,-77.0051,3,17:00,23:00,237.09,San Juan de Lurigancho
128,Hotel JW Marriott Express,-12.0743,-77.0216,3,20:00,22:00,119.69,La Victoria
129,Restaurante El Chinito Plus,-11.908,-77.2095,5,20:00,23:00,110.11,Ventanilla
130,Parque de la Exposición Sur,-11.9806,-77.0799,4,08:00,16:00,84.72,Los Olivos
131,Supermercado Peruanito Sur,-12.328,-76.8653,1,11:00,14:00,329.33,Villa María del Triunfo
132,Universidad San Martín Sur,-12.0705,-77.1691,2,08:00,16:00,388.19,La Punta
133,Santa Isabel Plus,-12.1014,-77.0367,2,09:00,15:00,292.46,San Isidro
134,Universidad San Martín Premium,-11.893,-77.0392,2,17:00,19:00,235.71,Chaclacayo
135,Centro Comercial MegaPlaza Plus,-11.9991,-77.0513,4,07:00,10:00,81.99,San Martín de Porres
136,Mercado de Chorrillos 5,-12.4216,-77.0097,3,06:00,10:00,196.71,Mi Perú
137,Centro Comercial Real Plaza Premium,-12.0799,-77.1674,1,17:00,20:00,205.54,La Punta
138,Mercado de Miraflores - Callao,-11.9518,-76.8554,5,11:00,23:00,125.75,Chaclacayo
139,Farmacia Cruz Verde Plus,-12.0352,-77.0256,2,18:00,22:00,252.77,Rímac
140,Hospital María Auxiliadora Sur,-12.3004,-77.0798,2,13:00,16:00,159.72,Pachacámac
141,Aeropuerto Jorge Chávez 2,-12.0675,-77.1315,3,08:00,20:00,144.51,Bellavista
142,Universidad del Pacífico Premium,-12.0392,-77.1107,2,17:00,23:00,156.04,Carmen de la Legua
143,Centro Comercial Real Plaza 4,-11.9054,-77.045,4,12:00,16:00,161.42,Carabayllo
144,Parque de la Reserva Premium,-12.051,-77.1352,2,18:00,22:00,334.33,Bellavista
145,Universidad Científica del Sur Plus,-12.0956,-77.0274,3,12:00,16:00,276.47,San Luis
146,Supermercado Peruanito Este,-11.9902,-77.0523,3,13:00,15:00,208.54,San Martín de Porres
147,Santa Isabel Express,-12.0519,-77.0274,3,13:00,17:00,108.02,El Agustino
148,Farmacia Universal 1,-12.1335,-77.0293,1,18:00,20:00,239.48,Barranco
